客户ID,服务态度评分,产品质量评分,物流速度评分,售后支持评分,整体满意度,是否推荐,会员等级,注册时长
CUST_0001,3,4,5,3,4,否,普通,1
CUST_0002,4,5,3,4,5,是,银牌,2
CUST_0003,5,3,4,5,3,是,金牌,3
CUST_0004,3,4,5,3,4,是,钻石,4
CUST_0005,4,5,3,4,5,否,普通,5
CUST_0006,5,3,4,5,3,是,银牌,6
CUST_0007,3,4,5,3,4,是,金牌,7
CUST_0008,4,5,3,4,5,是,钻石,8
CUST_0009,5,3,4,5,3,否,普通,9
CUST_0010,3,4,5,3,4,是,银牌,10
CUST_0011,4,5,3,4,5,是,金牌,11
CUST_0012,5,3,4,5,3,是,钻石,12
CUST_0013,3,4,5,3,4,否,普通,13
CUST_0014,4,5,3,4,5,是,银牌,14
CUST_0015,5,3,4,5,3,是,金牌,15
CUST_0016,3,4,5,3,4,是,钻石,16
CUST_0017,4,5,3,4,5,否,普通,17
CUST_0018,5,3,4,5,3,是,银牌,18
CUST_0019,3,4,5,3,4,是,金牌,19
CUST_0020,4,5,3,4,5,是,钻石,20
CUST_0021,5,3,4,5,3,否,普通,21
CUST_0022,3,4,5,3,4,是,银牌,22
CUST_0023,4,5,3,4,5,是,金牌,23
CUST_0024,5,3,4,5,3,是,钻石,24
CUST_0025,3,4,5,3,4,否,普通,25
CUST_0026,4,5,3,4,5,是,银牌,26
CUST_0027,5,3,4,5,3,是,金牌,27
CUST_0028,3,4,5,3,4,是,钻石,28
CUST_0029,4,5,3,4,5,否,普通,29
CUST_0030,5,3,4,5,3,是,银牌,30
CUST_0031,3,4,5,3,4,是,金牌,31
CUST_0032,4,5,3,4,5,是,钻石,32
CUST_0033,5,3,4,5,3,否,普通,33
CUST_0034,3,4,5,3,4,是,银牌,34
CUST_0035,4,5,3,4,5,是,金牌,35
CUST_0036,5,3,4,5,3,是,钻石,36
CUST_0037,3,4,5,3,4,否,普通,1
CUST_0038,4,5,3,4,5,是,银牌,2
CUST_0039,5,3,4,5,3,是,金牌,3
CUST_0040,3,4,5,3,4,是,钻石,4
CUST_0041,4,5,3,4,5,否,普通,5
CUST_0042,5,3,4,5,3,是,银牌,6
CUST_0043,3,4,5,3,4,是,金牌,7
CUST_0044,4,5,3,4,5,是,钻石,8
CUST_0045,5,3,4,5,3,否,普通,9
CUST_0046,3,4,5,3,4,是,银牌,10
CUST_0047,4,5,3,4,5,是,金牌,11
CUST_0048,5,3,4,5,3,是,钻石,12
CUST_0049,3,4,5,3,4,否,普通,13
CUST_0050,4,5,3,4,5,是,银牌,14
CUST_0051,5,3,4,5,3,是,金牌,15
CUST_0052,3,4,5,3,4,是,钻石,16
CUST_0053,4,5,3,4,5,否,普通,17
CUST_0054,5,3,4,5,3,是,银牌,18
CUST_0055,3,4,5,3,4,是,金牌,19
CUST_0056,4,5,3,4,5,是,钻石,20
CUST_0057,5,3,4,5,3,否,普通,21
CUST_0058,3,4,5,3,4,是,银牌,22
CUST_0059,4,5,3,4,5,是,金牌,23
CUST_0060,5,3,4,5,3,是,钻石,24
CUST_0061,3,4,5,3,4,否,普通,25
CUST_0062,4,5,3,4,5,是,银牌,26
CUST_0063,5,3,4,5,3,是,金牌,27
CUST_0064,3,4,5,3,4,是,钻石,28
CUST_0065,4,5,3,4,5,否,普通,29
CUST_0066,5,3,4,5,3,是,银牌,30
CUST_0067,3,4,5,3,4,是,金牌,31
CUST_0068,4,5,3,4,5,是,钻石,32
CUST_0069,5,3,4,5,3,否,普通,33
CUST_0070,3,4,5,3,4,是,银牌,34
CUST_0071,4,5,3,4,5,是,金牌,35
CUST_0072,5,3,4,5,3,是,钻石,36
CUST_0073,3,4,5,3,4,否,普通,1
CUST_0074,4,5,3,4,5,是,银牌,2
CUST_0075,5,3,4,5,3,是,金牌,3
CUST_0076,3,4,5,3,4,是,钻石,4
CUST_0077,4,5,3,4,5,否,普通,5
CUST_0078,5,3,4,5,3,是,银牌,6
CUST_0079,3,4,5,3,4,是,金牌,7
CUST_0080,4,5,3,4,5,是,钻石,8
CUST_0081,5,3,4,5,3,否,普通,9
CUST_0082,3,4,5,3,4,是,银牌,10
CUST_0083,4,5,3,4,5,是,金牌,11
CUST_0084,5,3,4,5,3,是,钻石,12
CUST_0085,3,4,5,3,4,否,普通,13
CUST_0086,4,5,3,4,5,是,银牌,14
CUST_0087,5,3,4,5,3,是,金牌,15
CUST_0088,3,4,5,3,4,是,钻石,16
CUST_0089,4,5,3,4,5,否,普通,17
CUST_0090,5,3,4,5,3,是,银牌,18
CUST_0091,3,4,5,3,4,是,金牌,19
CUST_0092,4,5,3,4,5,是,钻石,20
CUST_0093,5,3,4,5,3,否,普通,21
CUST_0094,3,4,5,3,4,是,银牌,22
CUST_0095,4,5,3,4,5,是,金牌,23
CUST_0096,5,3,4,5,3,是,钻石,24
CUST_0097,3,4,5,3,4,否,普通,25
CUST_0098,4,5,3,4,5,是,银牌,26
CUST_0099,5,3,4,5,3,是,金牌,27
CUST_0100,3,4,5,3,4,是,钻石,28
CUST_0101,4,5,3,4,5,否,普通,29
CUST_0102,5,3,4,5,3,是,银牌,30
CUST_0103,3,4,5,3,4,是,金牌,31
CUST_0104,4,5,3,4,5,是,钻石,32
CUST_0105,5,3,4,5,3,否,普通,33
CUST_0106,3,4,5,3,4,是,银牌,34
CUST_0107,4,5,3,4,5,是,金牌,35
CUST_0108,5,3,4,5,3,是,钻石,36
CUST_0109,3,4,5,3,4,否,普通,1
CUST_0110,4,5,3,4,5,是,银牌,2
CUST_0111,5,3,4,5,3,是,金牌,3
CUST_0112,3,4,5,3,4,是,钻石,4
CUST_0113,4,5,3,4,5,否,普通,5
CUST_0114,5,3,4,5,3,是,银牌,6
CUST_0115,3,4,5,3,4,是,金牌,7
CUST_0116,4,5,3,4,5,是,钻石,8
CUST_0117,5,3,4,5,3,否,普通,9
CUST_0118,3,4,5,3,4,是,银牌,10
CUST_0119,4,5,3,4,5,是,金牌,11
CUST_0120,5,3,4,5,3,是,钻石,12
CUST_0121,3,4,5,3,4,否,普通,13
CUST_0122,4,5,3,4,5,是,银牌,14
CUST_0123,5,3,4,5,3,是,金牌,15
CUST_0124,3,4,5,3,4,是,钻石,16
CUST_0125,4,5,3,4,5,否,普通,17
CUST_0126,5,3,4,5,3,是,银牌,18
CUST_0127,3,4,5,3,4,是,金牌,19
CUST_0128,4,5,3,4,5,是,钻石,20
CUST_0129,5,3,4,5,3,否,普通,21
CUST_0130,3,4,5,3,4,是,银牌,22
CUST_0131,4,5,3,4,5,是,金牌,23
CUST_0132,5,3,4,5,3,是,钻石,24
CUST_0133,3,4,5,3,4,否,普通,25
CUST_0134,4,5,3,4,5,是,银牌,26
CUST_0135,5,3,4,5,3,是,金牌,27
CUST_0136,3,4,5,3,4,是,钻石,28
CUST_0137,4,5,3,4,5,否,普通,29
CUST_0138,5,3,4,5,3,是,银牌,30
CUST_0139,3,4,5,3,4,是,金牌,31
CUST_0140,4,5,3,4,5,是,钻石,32
CUST_0141,5,3,4,5,3,否,普通,33
CUST_0142,3,4,5,3,4,是,银牌,34
CUST_0143,4,5,3,4,5,是,金牌,35
CUST_0144,5,3,4,5,3,是,钻石,36
CUST_0145,3,4,5,3,4,否,普通,1
CUST_0146,4,5,3,4,5,是,银牌,2
CUST_0147,5,3,4,5,3,是,金牌,3
CUST_0148,3,4,5,3,4,是,钻石,4
CUST_0149,4,5,3,4,5,否,普通,5
CUST_0150,5,3,4,5,3,是,银牌,6
CUST_0151,3,4,5,3,4,是,金牌,7
CUST_0152,4,5,3,4,5,是,钻石,8
CUST_0153,5,3,4,5,3,否,普通,9
CUST_0154,3,4,5,3,4,是,银牌,10
CUST_0155,4,5,3,4,5,是,金牌,11
CUST_0156,5,3,4,5,3,是,钻石,12
CUST_0157,3,4,5,3,4,否,普通,13
CUST_0158,4,5,3,4,5,是,银牌,14
CUST_0159,5,3,4,5,3,是,金牌,15
CUST_0160,3,4,5,3,4,是,钻石,16
CUST_0161,4,5,3,4,5,否,普通,17
CUST_0162,5,3,4,5,3,是,银牌,18
CUST_0163,3,4,5,3,4,是,金牌,19
CUST_0164,4,5,3,4,5,是,钻石,20
CUST_0165,5,3,4,5,3,否,普通,21
CUST_0166,3,4,5,3,4,是,银牌,22
CUST_0167,4,5,3,4,5,是,金牌,23
CUST_0168,5,3,4,5,3,是,钻石,24
CUST_0169,3,4,5,3,4,否,普通,25
CUST_0170,4,5,3,4,5,是,银牌,26
CUST_0171,5,3,4,5,3,是,金牌,27
CUST_0172,3,4,5,3,4,是,钻石,28
CUST_0173,4,5,3,4,5,否,普通,29
CUST_0174,5,3,4,5,3,是,银牌,30
CUST_0175,3,4,5,3,4,是,金牌,31
CUST_0176,4,5,3,4,5,是,钻石,32
CUST_0177,5,3,4,5,3,否,普通,33
CUST_0178,3,4,5,3,4,是,银牌,34
CUST_0179,4,5,3,4,5,是,金牌,35
CUST_0180,5,3,4,5,3,是,钻石,36
CUST_0181,3,4,5,3,4,否,普通,1
CUST_0182,4,5,3,4,5,是,银牌,2
CUST_0183,5,3,4,5,3,是,金牌,3
CUST_0184,3,4,5,3,4,是,钻石,4
CUST_0185,4,5,3,4,5,否,普通,5
CUST_0186,5,3,4,5,3,是,银牌,6
CUST_0187,3,4,5,3,4,是,金牌,7
CUST_0188,4,5,3,4,5,是,钻石,8
CUST_0189,5,3,4,5,3,否,普通,9
CUST_0190,3,4,5,3,4,是,银牌,10
CUST_0191,4,5,3,4,5,是,金牌,11
CUST_0192,5,3,4,5,3,是,钻石,12
CUST_0193,3,4,5,3,4,否,普通,13
CUST_0194,4,5,3,4,5,是,银牌,14
CUST_0195,5,3,4,5,3,是,金牌,15
CUST_0196,3,4,5,3,4,是,钻石,16
CUST_0197,4,5,3,4,5,否,普通,17
CUST_0198,5,3,4,5,3,是,银牌,18
CUST_0199,3,4,5,3,4,是,金牌,19
CUST_0200,4,5,3,4,5,是,钻石,20
