日期,温度,降水,风速,空气质量
2024-07-01,"{""\u6700\u9ad8"": 30, ""\u6700\u4f4e"": 20, ""\u5e73\u5747"": 25}","{""\u6982\u7387"": 0.1, ""\u91cf\u7ea7"": ""\u65e0""}",2,优
2024-07-02,"{""\u6700\u9ad8"": 31, ""\u6700\u4f4e"": 21, ""\u5e73\u5747"": 26}","{""\u6982\u7387"": 0.25, ""\u91cf\u7ea7"": ""\u5c0f\u96e8""}",3,良
2024-07-03,"{""\u6700\u9ad8"": 32, ""\u6700\u4f4e"": 22, ""\u5e73\u5747"": 27}","{""\u6982\u7387"": 0.4, ""\u91cf\u7ea7"": ""\u4e2d\u96e8""}",4,轻度污染
2024-07-04,"{""\u6700\u9ad8"": 33, ""\u6700\u4f4e"": 23, ""\u5e73\u5747"": 28}","{""\u6982\u7387"": 0.5499999999999999, ""\u91cf\u7ea7"": ""\u5927\u96e8""}",5,中度污染
2024-07-05,"{""\u6700\u9ad8"": 34, ""\u6700\u4f4e"": 24, ""\u5e73\u5747"": 29}","{""\u6982\u7387"": 0.7, ""\u91cf\u7ea7"": ""\u65e0""}",6,优
2024-07-06,"{""\u6700\u9ad8"": 35, ""\u6700\u4f4e"": 25, ""\u5e73\u5747"": 30}","{""\u6982\u7387"": 0.1, ""\u91cf\u7ea7"": ""\u5c0f\u96e8""}",7,良
2024-07-07,"{""\u6700\u9ad8"": 36, ""\u6700\u4f4e"": 26, ""\u5e73\u5747"": 25}","{""\u6982\u7387"": 0.25, ""\u91cf\u7ea7"": ""\u4e2d\u96e8""}",8,轻度污染
2024-07-08,"{""\u6700\u9ad8"": 37, ""\u6700\u4f4e"": 27, ""\u5e73\u5747"": 26}","{""\u6982\u7387"": 0.4, ""\u91cf\u7ea7"": ""\u5927\u96e8""}",9,中度污染
2024-07-09,"{""\u6700\u9ad8"": 38, ""\u6700\u4f4e"": 20, ""\u5e73\u5747"": 27}","{""\u6982\u7387"": 0.5499999999999999, ""\u91cf\u7ea7"": ""\u65e0""}",2,优
2024-07-10,"{""\u6700\u9ad8"": 39, ""\u6700\u4f4e"": 21, ""\u5e73\u5747"": 28}","{""\u6982\u7387"": 0.7, ""\u91cf\u7ea7"": ""\u5c0f\u96e8""}",3,良
2024-07-11,"{""\u6700\u9ad8"": 30, ""\u6700\u4f4e"": 22, ""\u5e73\u5747"": 29}","{""\u6982\u7387"": 0.1, ""\u91cf\u7ea7"": ""\u4e2d\u96e8""}",4,轻度污染
2024-07-12,"{""\u6700\u9ad8"": 31, ""\u6700\u4f4e"": 23, ""\u5e73\u5747"": 30}","{""\u6982\u7387"": 0.25, ""\u91cf\u7ea7"": ""\u5927\u96e8""}",5,中度污染
2024-07-13,"{""\u6700\u9ad8"": 32, ""\u6700\u4f4e"": 24, ""\u5e73\u5747"": 25}","{""\u6982\u7387"": 0.4, ""\u91cf\u7ea7"": ""\u65e0""}",6,优
2024-07-14,"{""\u6700\u9ad8"": 33, ""\u6700\u4f4e"": 25, ""\u5e73\u5747"": 26}","{""\u6982\u7387"": 0.5499999999999999, ""\u91cf\u7ea7"": ""\u5c0f\u96e8""}",7,良
2024-07-15,"{""\u6700\u9ad8"": 34, ""\u6700\u4f4e"": 26, ""\u5e73\u5747"": 27}","{""\u6982\u7387"": 0.7, ""\u91cf\u7ea7"": ""\u4e2d\u96e8""}",8,轻度污染
2024-07-16,"{""\u6700\u9ad8"": 35, ""\u6700\u4f4e"": 27, ""\u5e73\u5747"": 28}","{""\u6982\u7387"": 0.1, ""\u91cf\u7ea7"": ""\u5927\u96e8""}",9,中度污染
2024-07-17,"{""\u6700\u9ad8"": 36, ""\u6700\u4f4e"": 20, ""\u5e73\u5747"": 29}","{""\u6982\u7387"": 0.25, ""\u91cf\u7ea7"": ""\u65e0""}",2,优
2024-07-18,"{""\u6700\u9ad8"": 37, ""\u6700\u4f4e"": 21, ""\u5e73\u5747"": 30}","{""\u6982\u7387"": 0.4, ""\u91cf\u7ea7"": ""\u5c0f\u96e8""}",3,良
2024-07-19,"{""\u6700\u9ad8"": 38, ""\u6700\u4f4e"": 22, ""\u5e73\u5747"": 25}","{""\u6982\u7387"": 0.5499999999999999, ""\u91cf\u7ea7"": ""\u4e2d\u96e8""}",4,轻度污染
2024-07-20,"{""\u6700\u9ad8"": 39, ""\u6700\u4f4e"": 23, ""\u5e73\u5747"": 26}","{""\u6982\u7387"": 0.7, ""\u91cf\u7ea7"": ""\u5927\u96e8""}",5,中度污染
2024-07-21,"{""\u6700\u9ad8"": 30, ""\u6700\u4f4e"": 24, ""\u5e73\u5747"": 27}","{""\u6982\u7387"": 0.1, ""\u91cf\u7ea7"": ""\u65e0""}",6,优
2024-07-22,"{""\u6700\u9ad8"": 31, ""\u6700\u4f4e"": 25, ""\u5e73\u5747"": 28}","{""\u6982\u7387"": 0.25, ""\u91cf\u7ea7"": ""\u5c0f\u96e8""}",7,良
2024-07-23,"{""\u6700\u9ad8"": 32, ""\u6700\u4f4e"": 26, ""\u5e73\u5747"": 29}","{""\u6982\u7387"": 0.4, ""\u91cf\u7ea7"": ""\u4e2d\u96e8""}",8,轻度污染
2024-07-24,"{""\u6700\u9ad8"": 33, ""\u6700\u4f4e"": 27, ""\u5e73\u5747"": 30}","{""\u6982\u7387"": 0.5499999999999999, ""\u91cf\u7ea7"": ""\u5927\u96e8""}",9,中度污染
2024-07-25,"{""\u6700\u9ad8"": 34, ""\u6700\u4f4e"": 20, ""\u5e73\u5747"": 25}","{""\u6982\u7387"": 0.7, ""\u91cf\u7ea7"": ""\u65e0""}",2,优
2024-07-26,"{""\u6700\u9ad8"": 35, ""\u6700\u4f4e"": 21, ""\u5e73\u5747"": 26}","{""\u6982\u7387"": 0.1, ""\u91cf\u7ea7"": ""\u5c0f\u96e8""}",3,良
2024-07-27,"{""\u6700\u9ad8"": 36, ""\u6700\u4f4e"": 22, ""\u5e73\u5747"": 27}","{""\u6982\u7387"": 0.25, ""\u91cf\u7ea7"": ""\u4e2d\u96e8""}",4,轻度污染
2024-07-28,"{""\u6700\u9ad8"": 37, ""\u6700\u4f4e"": 23, ""\u5e73\u5747"": 28}","{""\u6982\u7387"": 0.4, ""\u91cf\u7ea7"": ""\u5927\u96e8""}",5,中度污染
2024-07-29,"{""\u6700\u9ad8"": 38, ""\u6700\u4f4e"": 24, ""\u5e73\u5747"": 29}","{""\u6982\u7387"": 0.5499999999999999, ""\u91cf\u7ea7"": ""\u65e0""}",6,优
2024-07-30,"{""\u6700\u9ad8"": 39, ""\u6700\u4f4e"": 25, ""\u5e73\u5747"": 30}","{""\u6982\u7387"": 0.7, ""\u91cf\u7ea7"": ""\u5c0f\u96e8""}",7,良
